Change component parameters: Designator = "DD2" ("DD2"); Footprint = "LQFP48-7x7mm"; UniqueID = "\UBKRUJWB" ("\UBKRUJWB")
Change component parameters (AddParameter): Name = "ClassName"; Value = "STM"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "Source"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "https://www.chipdip.ru/product/stm32f103cbt6-mikrokontroller-32-bit-st-microelectronics-9000052539"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = "https://static.chipdip.ru/lib/597/DOC018597489.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Desc"; Value = "Микроконтроллер 32-Бит"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Frequency"; Value = "72 МГц"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "STMicroelectronics"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package"; Value = "LQFP-48"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PartNumber"; Value = "STM32F103CBT6"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Ta"; Value = "85 °C"; VariantName = "[No Variations]"
Change component parameters: Designator = "DD5" ("DD5"); Footprint = "LQFP64-10x10mm"; UniqueID = "\DOCGGKCF" ("\DOCGGKCF")
Change component parameters (AddParameter): Name = "ClassName"; Value = "STM"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "Source"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "https://www.chipdip.ru/product/stm32f030r8t6-mikrokontroller-arm-st-microelectronics-9000247632"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = "https://static.chipdip.ru/lib/915/DOC012915875.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Desc"; Value = "Микроконтроллер ARM"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Frequency"; Value = "48 МГц"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "STMicroelectronics"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package"; Value = "LQFP64-10x10"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PartNumber"; Value = "STM32F030R8T6"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Ta"; Value = "85 °C"; VariantName = "[No Variations]"
Added Class: Name=STM
